,yearstart,locationabbr,locationdesc,topic,question,datavalueunit,datavaluetype,datavalue,datavaluefootnote,stratificationcategory1,stratification1,geolocation
14075,2019,AL,Alabama,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.3,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
14131,2019,AK,Alaska,Asthma,Current asthma among adults,%,Crude Prevalence,13.4,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
14133,2019,AZ,Arizona,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,32.7,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
14146,2019,AZ,Arizona,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,61.8,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
14323,2019,AL,Alabama,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,44.3,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
14324,2019,AK,Alaska,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,37.6,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
14365,2019,AK,Alaska,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,10.4,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
14424,2019,AK,Alaska,Diabetes,Diabetes among adults,%,Crude Prevalence,6.6,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
14442,2019,AR,Arkansas,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.6,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
14511,2019,AZ,Arizona,Asthma,Current asthma among adults,%,Crude Prevalence,7.0,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
14610,2019,AZ,Arizona,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,27.1,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
14752,2019,AZ,Arizona,Diabetes,Diabetes among adults,%,Crude Prevalence,11.4,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
14753,2019,AL,Alabama,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,13.6,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
14825,2019,AL,Alabama,Asthma,Current asthma among adults,%,Crude Prevalence,8.1,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
14852,2019,AL,Alabama,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,22.4,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
14973,2019,AL,Alabama,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,79.0,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
15057,2019,AR,Arkansas,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,50.9,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
15095,2019,AZ,Arizona,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,30.5,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
15162,2019,AZ,Arizona,Disability,Adults with any disability,%,Crude Prevalence,25.0,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
15241,2019,AZ,Arizona,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,9.3,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
15278,2019,AZ,Arizona,Asthma,Current asthma among adults,%,Crude Prevalence,13.8,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
15312,2019,AL,Alabama,Alcohol,Alcohol use among high school students,%,Crude Prevalence,20.1,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
15411,2019,AK,Alaska,Disability,Adults with any disability,%,Crude Prevalence,26.3,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
15523,2019,AK,Alaska,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,37.7,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
15613,2019,AK,Alaska,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,63.6,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
15799,2019,AZ,Arizona,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,32.4,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
15911,2019,AL,Alabama,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,64.4,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
16008,2019,AR,Arkansas,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,37.5,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
16127,2019,AZ,Arizona,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,17.4,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
16190,2019,AR,Arkansas,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,18.2,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
16367,2019,AL,Alabama,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,21.2,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
16430,2019,AK,Alaska,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,15.7,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
16479,2019,AL,Alabama,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,15.0,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
16585,2019,AK,Alaska,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,10.5,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
16599,2019,AZ,Arizona,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,13.4,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
16742,2019,AL,Alabama,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,20.9,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
16753,2019,AL,Alabama,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,37.4,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
16779,2019,AZ,Arizona,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,35.5,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
16820,2019,AR,Arkansas,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,44.8,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
16844,2019,AZ,Arizona,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,4.1,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
16871,2019,AL,Alabama,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,8.7,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
16909,2019,AL,Alabama,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,3.6,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
16949,2019,AR,Arkansas,Diabetes,Diabetes among adults,%,Crude Prevalence,13.6,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
17034,2019,AK,Alaska,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,63.0,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
17044,2019,AL,Alabama,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,35.9,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
17057,2019,AZ,Arizona,Arthritis,Arthritis among adults,%,Crude Prevalence,19.1,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
17081,2019,AK,Alaska,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,63.8,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
17113,2019,AR,Arkansas,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,9.2,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
17188,2019,AK,Alaska,Mental Health,Depression among adults,%,Crude Prevalence,23.3,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
17307,2019,AZ,Arizona,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,45.7,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
17330,2019,AK,Alaska,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,8.5,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
17354,2019,AK,Alaska,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,42.2,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
17434,2019,AL,Alabama,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,37.3,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
17513,2019,AL,Alabama,Diabetes,Diabetes among adults,%,Crude Prevalence,14.1,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
17628,2019,AK,Alaska,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,8.0,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
17637,2019,AK,Alaska,Alcohol,Alcohol use among high school students,%,Crude Prevalence,24.6,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
17648,2019,AL,Alabama,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,60.5,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
17675,2019,AK,Alaska,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,22.2,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
17678,2019,AR,Arkansas,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,37.3,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
17751,2019,AL,Alabama,Mental Health,Depression among adults,%,Crude Prevalence,28.4,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
17840,2019,AK,Alaska,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,44.6,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
17905,2019,AZ,Arizona,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.7,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
17938,2019,AK,Alaska,Arthritis,Arthritis among adults,%,Crude Prevalence,18.5,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
17946,2019,AR,Arkansas,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,37.1,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
17990,2019,AL,Alabama,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,8.9,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
18140,2019,AK,Alaska,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,23.6,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
18249,2019,AK,Alaska,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,26.5,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
18290,2019,AZ,Arizona,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,18.7,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
18322,2019,AR,Arkansas,Mental Health,Depression among adults,%,Crude Prevalence,31.9,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
18325,2019,AL,Alabama,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,42.2,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
18360,2019,AK,Alaska,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.9,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
18399,2019,AR,Arkansas,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,59.3,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
18516,2019,AZ,Arizona,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,12.6,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
18641,2019,AZ,Arizona,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.7,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
18670,2019,AL,Alabama,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,25.1,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
18735,2019,AZ,Arizona,Arthritis,Arthritis among adults,%,Crude Prevalence,28.0,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
18765,2019,AL,Alabama,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,51.5,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
18826,2019,AL,Alabama,Disability,Adults with any disability,%,Crude Prevalence,34.4,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
18857,2019,AK,Alaska,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,15.2,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
18891,2019,AK,Alaska,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,11.1,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
19060,2019,AZ,Arizona,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,35.2,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
19072,2019,AZ,Arizona,Mental Health,Depression among adults,%,Crude Prevalence,12.5,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
19085,2019,AL,Alabama,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,37.5,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
19229,2019,AZ,Arizona,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,33.4,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
19316,2019,AR,Arkansas,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,12.3,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
19360,2019,AZ,Arizona,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,34.5,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
19431,2019,AZ,Arizona,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,78.3,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
19458,2019,AL,Alabama,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,9.4,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
19519,2019,AL,Alabama,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,18.0,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
19574,2019,AK,Alaska,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.6,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
19594,2019,AL,Alabama,Arthritis,Arthritis among adults,%,Crude Prevalence,37.5,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
19761,2019,AR,Arkansas,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,9.1,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
19800,2019,AR,Arkansas,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,39.3,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
20209,2019,AR,Arkansas,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,33.6,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
20223,2019,AK,Alaska,Asthma,Current asthma among adults,%,Crude Prevalence,8.4,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
20317,2019,AK,Alaska,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,29.5,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
20447,2019,AK,Alaska,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,25.3,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
20456,2019,AK,Alaska,Diabetes,Diabetes among adults,%,Crude Prevalence,8.0,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
20496,2019,AL,Alabama,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,48.5,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
20698,2019,AL,Alabama,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,15.1,,Sex,Male,POINT (-86.63186076199969 32.84057112200048)
20717,2019,AL,Alabama,Asthma,Current asthma among adults,%,Crude Prevalence,12.4,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
20730,2019,AR,Arkansas,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,15.6,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
20739,2019,AR,Arkansas,Arthritis,Arthritis among adults,%,Crude Prevalence,25.3,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
20752,2019,AZ,Arizona,Diabetes,Diabetes among adults,%,Crude Prevalence,10.5,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
20757,2019,AZ,Arizona,Disability,Adults with any disability,%,Crude Prevalence,31.5,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
20863,2019,AR,Arkansas,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,46.4,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
20953,2019,AZ,Arizona,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,56.1,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
21091,2019,AR,Arkansas,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,57.2,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
21128,2019,AZ,Arizona,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,0.8,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
21153,2019,AK,Alaska,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,27.6,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
21165,2019,AZ,Arizona,Alcohol,Alcohol use among high school students,%,Crude Prevalence,23.5,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
21205,2019,AL,Alabama,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,85.2,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
21306,2019,AK,Alaska,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,28.4,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
21311,2019,AK,Alaska,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.5,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
21346,2019,AR,Arkansas,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,21.8,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
21550,2019,AK,Alaska,Alcohol,Alcohol use among high school students,%,Crude Prevalence,19.0,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
21552,2019,AR,Arkansas,Disability,Adults with any disability,%,Crude Prevalence,34.2,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
21743,2019,AL,Alabama,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,10.5,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
21809,2019,AZ,Arizona,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,74.7,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
21964,2019,AL,Alabama,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,36.8,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
21976,2019,AK,Alaska,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,54.9,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
22002,2019,AL,Alabama,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,40.8,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
22015,2019,AK,Alaska,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,30.9,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
22067,2019,AK,Alaska,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,25.6,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
22319,2019,AZ,Arizona,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,21.0,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
22380,2019,AL,Alabama,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,18.3,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
22406,2019,AR,Arkansas,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,9.5,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
22445,2019,AR,Arkansas,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,15.2,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
22505,2019,AZ,Arizona,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,7.6,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
22652,2019,AK,Alaska,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,59.5,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
22658,2019,AZ,Arizona,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,12.5,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
22671,2019,AZ,Arizona,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,17.1,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
22734,2019,AL,Alabama,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,19.5,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
22786,2019,AR,Arkansas,Asthma,Current asthma among adults,%,Crude Prevalence,13.0,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
22812,2019,AZ,Arizona,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.8,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
22915,2019,AR,Arkansas,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,81.1,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
22974,2019,AR,Arkansas,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,11.7,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
